# Objetos. Nombres oficiales (PokeAPI, idioma es) abreviados a 12 caracteres como en los
# juegos de GBA; los objetos propios de PokeWilds están traducidos a mano.
# Formato: @ nombre interno | nombre en castellano

# --- Bonguris (el menú muestra "APRCN" en lugar de "APRICORN") ---
@ white apricorn | Bonguri Bla.
@ black apricorn | Bonguri Neg.
@ red apricorn | Bonguri Rojo
@ blue apricorn | Bonguri Azul
@ yellow apricorn | Bonguri Ama.
@ pink apricorn | Bonguri Rosa
@ green apricorn | Bonguri Ver.
@ white aprcn | Bonguri Bla.
@ black aprcn | Bonguri Neg.
@ red aprcn | Bonguri Rojo
@ blue aprcn | Bonguri Azul
@ yellow aprcn | Bonguri Ama.
@ pink aprcn | Bonguri Rosa
@ green aprcn | Bonguri Ver.
@ apricorn | Bonguri
@ aprcn | Bonguri

# --- Cañas ---
@ old rod | Caña Vieja
@ good rod | Caña Buena
@ super rod | Supercaña

# --- Bayas ---
@ pecha berry | Baya Meloc
@ cheri berry | Baya Zreza
@ rawst berry | Baya Safre
@ aspear berry | Baya Perasi
@ persim berry | Baya Caquic
@ chesto berry | Baya Atania
@ lum berry | Baya Ziuela
@ berry seed | Semilla Baya
@ pecha | Meloc
@ cheri | Zreza
@ rawst | Safre
@ aspear | Perasi
@ persim | Caquic
@ chesto | Atania
@ lum | Ziuela

# --- Materiales ---
@ log | Leño
@ grass | Hierba
@ dry sand | Arena Seca
@ light clay | Arcilla Luz
@ flowers | Flores
@ cursed soil | Tierra Tumba
@ ashen soil | Tierra Volc.
@ dry soil | Tierra Seca
@ mystic soil | Tierra Bosq.
@ damp soil | Tierra Lago
@ soft sand | Arena Fina
@ manure | Estiércol
@ clear glass | Cristal
@ thin paper | Papel Fino
@ soft bedding | Ropa de Cama
@ soft wool | Lana Suave
@ soft feather | Pluma Suave
@ silky thread | Hilo Sedoso
@ hard stone | Piedra Dura
@ hard shell | Concha Dura
@ charcoal | Carbón
@ magnet | Imán
@ honey | Miel
@ stardust | Polvoestelar
@ star piece | Trozo Estr.
@ psi energy | Energía Psi
@ dark energy | E. Siniestra
@ life force | Fuerza Vital
@ ancientpowder | Polvoantiguo
@ ancient dust | Polvoantiguo
@ nevermeltice | Hielo Perp.
@ nvrmlt ice | Hielo Perp.
@ dragon scale | Escamadragón
@ dragon fang | Colmillodrag
@ binding band | Banda Atad.
@ metal coat | Revest. Met.
@ poison barb | Flecha Ven.
@ miracle seed | Semilla Mil.
@ spell tag | Hechizo
@ big pearl | Perla Grande

# --- Balls ---
@ poké ball | Poké Ball
@ poke ball | Poké Ball
@ great ball | Super Ball
@ ultra ball | Ultra Ball
@ master ball | Master Ball
@ love ball | Amor Ball
@ fast ball | Rapid Ball
@ lure ball | Cebo Ball
@ moon ball | Luna Ball
@ friend ball | Amigo Ball
@ heavy ball | Peso Ball
@ level ball | Nivel Ball
@ dusk ball | Ocaso Ball
@ net ball | Malla Ball
@ dive ball | Buceo Ball
@ quick ball | Veloz Ball
@ heal ball | Sana Ball
@ nest ball | Nido Ball
@ dream ball | Ensueño Ball
@ timer ball | Turno Ball
@ park ball | Parque Ball
@ safari ball | Safari Ball

# --- Fósiles ---
@ old amber | Ámbar Viejo
@ helix fossil | Fósil Hélix
@ dome fossil | Fósil Domo
@ claw fossil | Fósil Garra
@ root fossil | Fósil Raíz
@ armor fossil | Fósil Coraza
@ skull fossil | Fósil Cráneo
@ shield fossil | Fósil Escudo

# --- Piedras evolutivas ---
@ water stone | Piedra Agua
@ fire stone | Piedra Fuego
@ leaf stone | Piedra Hoja
@ thunderstone | Piedratrueno
@ thunder stone | Piedratrueno
@ moon stone | Piedra Lunar
@ sun stone | Piedra Solar
@ ice stone | Piedra Hielo
@ dawn stone | Piedra Alba
@ dusk stone | Piedra Noche
@ shiny stone | Piedra Día
@ sweet apple | Manz. Dulce

# --- Curación y varios ---
@ berry juice | Zumo de Baya
@ moomoo milk | Leche Mu-mu
@ ragecandybar | Caram. Furia
@ rare candy | Carameloraro
@ revive | Revivir
@ max revive | Máx. Revivir
@ repel | Repelente
@ max repel | Máx. Repel
@ escape rope | Cuerda Huida
@ sleeping bag | Saco Dormir
@ secret key | LlaveSecreta
@ silph scope | Visor Silph
@ poké doll | Poké Muñeco
@ poke doll | Poké Muñeco
@ upgrade | Mejora
@ dubious disc | Disco Extr.
@ mystic water | Agua Mística
@ worn disc | Disco Gastado
@ bed | Cama
@ bedding | Ropa de Cama
@ egg | Huevo

# --- Nombres para la caja de requisitos de construcción ---
# Esa caja pone cada palabra en una línea y añade la cantidad a la última ("DURA x1"):
# caben 7 caracteres por línea, así que la ÚLTIMA palabra puede tener como mucho 5 letras
# y las demás 7. Si no hay forma, se parte con guion como en los juegos de Game Boy.
@ req:log | Leño
@ req:grass | Hier- ba
